mortecino|faint
mudarse|to move
mugir|to moo
mundial|world
nadar|to swim
natal|native
navegar|to sail
navideño|Christmas
nevado|snowy
nevar|to snow
nublado|cloudy
nunca|never
oculto|hidden
ojear|to have a look at
olfatear|to sniff
ondulado|wavy
ordenado|tidy
orgulloso|proud
oriundo|native
osado|daring
oscuro|dark
otoñal|fall
ovni|UFO
oxidado|rusty
pacífico|peaceful
palear|to shovel
parlotear|to chatter
parpadear|to blink
pastar|to graze
patinar|to skate
pedalear|to pedal
pedregoso|rocky
pegajoso|sticky
peligroso|dangerous
pelirrojo|red-haired
pellizcar|to pinch
perdonar|to forgive
perezoso|lazy
pernoctar|to stay overnight
pescar|to fish
pesquero|fishing
piar|to cheep
picante|spicy
picar|to sting
picotear|to peck
pintoresco|picturesque
pisotear|to stomp on
placentero|pleasant
planchar|to iron
plantar|to plant
plateado|silver
playero|beach
plegable|folding
poblar|to populate
podar|to prune
polvoriento|dusty
por favor|please
postergar|to postpone
proponerse|to set out to
quisquilloso|fussy
rallar|to grate
rápidamente|quickly
rastrillar|to rake
rayado|striped
realmente|actually
realzar|to highlight
recetar|to prescribe
recién|just
recordar|to remember
recorrer|to travel around
refrescante|refreshing
refrescarse|to cool down
refunfuñar|to grumble
regalar|to give
regar|to water
regatear|to haggle
regocijarse|to rejoice
regocijar|to fill with joy
relajante|relaxing
remar|to row
remolcar|to tow
renacer|to be reborn
renombrado|renowned
rentable|profitable
repentino|sudden
reposar|to rest
resbaladizo|slippery
resbalarse|to slip
resquebrajar|to crack
retraído|withdrawn
revolotear|to flutter
risueño|smiling
rizado|curly
rociar|to spray
rocoso|rocky
rojizo|reddish
roncar|to snore
ronco|hoarse
ronronear|to purr
rugir|to roar
rumbear|to party
sabanero|from the savannah
saborear|to savor
sabroso|tasty
salpicar|to splash
salteado|saut=C3=A9ed
saludable|healthy
salvaje|wild
sazonar|to season
sediento|thirsty
sembrar|to plant
silbar|to whistle
silvestre|wild
socorrer|to help
soleado|sunny
somnoliento|drowsy
sonrojarse|to blush
sudar|to sweat
suficiente|enough
susurrar|to whisper
tararear|to hum
temible|fearsome
templado|mild
temprano|early
tibio|lukewarm
toparse|to run into
torcido|twisted
tormentoso|stormy
torpe|clumsy
trabajador|hardworking
tranquilamente|peacefully
trasnocharse|to stay up late
trasnochar|to stay up late
travieso|naughty
trotar|to jog
tupido|thick
tutear|to address as &quot;t=C3=BA&quot;
vacío|empty
vasco|Basque
vaticinar|to predict
venenoso|poisonous
veranear|to spend the summer
verídico|true
verter|to pour
viajar|to travel
viviente|living
volador|flying
volar|to fly
voltear|to turn over
zambullirse|to dive
zarandear|to shake
zarpar|to set sail
zurdo|left-handed
